Date,Revenue,Expenses,Profit,Cash Flow,Debt,Assets,Liabilities,Marketing Spend,Employee Count,Tax Paid,Operational Cost
2016-05-03,91091,18005,73086,74890,20781,123743,69235,18329,211,3853,11544.38
2016-05-04,85603,18322,67281,63522,48836,115308,30413,5267,166,6601,13438.92
2016-05-05,48412,31008,17404,15904,22409,145481,60610,14669,407,14469,19313.41
2016-05-06,71658,55765,15893,20746,29386,80158,67060,7442,248,9344,34538.32
2016-05-07,69549,39870,29679,30409,33510,126389,45055,9350,334,13642,26338.34
2016-05-08,31549,27466,4083,4613,37338,87073,60469,15009,89,7600,18239.15
2016-05-09,91216,60284,30932,29193,23552,115010,47789,13360,104,12754,38338.89
2016-05-10,45739,65034,-19295,-17031,13124,76832,42686,15119,411,13988,45100.08
2016-05-11,41209,48161,-6952,-8109,13195,128349,54576,18151,491,2381,34844.77
2016-05-12,35116,17739,17377,17202,34885,111736,42166,10590,218,9173,13930.59
2016-05-13,40045,75811,-35766,-38785,38403,135871,32858,10750,316,7097,56131.4
2016-05-14,46327,51935,-5608,-9961,49763,132392,30840,5368,499,10798,36590.78
2016-05-15,55709,68565,-12856,-13933,22844,121851,21489,15372,250,11607,48535.59
2016-05-16,63617,76314,-12697,-15715,21152,132760,26970,15205,280,2224,54556.04
2016-05-17,80139,68842,11297,11552,16841,139359,33441,19531,90,6032,45268.66
2016-05-18,46905,68626,-21721,-24702,45024,149453,27769,12332,183,3149,51400.85
2016-05-19,84148,28194,55954,59968,26818,96959,38401,10371,113,14713,20601.59
2016-05-20,92603,19231,73372,73046,21315,76900,45977,19382,462,14563,13417.76
2016-05-21,62919,66929,-4010,-939,18078,70154,32555,6413,63,3234,43018.86
2016-05-22,78446,43268,35178,37158,48787,128328,61737,16285,281,10896,33317.38
2016-05-23,72428,16401,56027,53859,10849,99014,30871,18913,128,14286,10489.76
2016-05-24,67894,23086,44808,49020,34682,132401,55585,11684,228,12079,14763.2
2016-05-25,26447,77582,-51135,-46862,34695,95990,27802,18212,352,13105,48821.75
2016-05-26,25499,48673,-23174,-21072,16210,82627,25923,10060,296,9478,38903.22
2016-05-27,59041,15529,43512,44503,37610,131734,22949,8820,481,6976,10077.63
2016-05-28,51315,55779,-4464,-5256,40583,108802,66562,13338,352,8419,42963.57
2016-05-29,21299,38462,-17163,-18488,15788,118770,66587,8842,438,11918,23344.27
2016-05-30,24994,62769,-37775,-40996,42686,118537,29832,7599,380,6086,46541.81
2016-05-31,27489,52386,-24897,-25201,44929,60505,31364,8277,406,4359,31749.18
2016-06-01,52355,67873,-15518,-15981,11646,82421,24702,8118,392,10954,49197.05
2016-06-02,93805,72730,21075,24494,39125,72303,47752,8967,162,5442,47510.76
2016-06-03,88367,66773,21594,17467,18423,53169,23820,14575,451,8757,40982.27
2016-06-04,97355,70878,26477,26243,40498,65099,36098,15108,123,6455,46415.69
2016-06-05,21996,31956,-9960,-11532,41492,54695,63142,10819,428,9088,19969.39
2016-06-06,64387,32027,32360,36843,26945,63431,65844,16687,299,11863,20625.58
2016-06-07,23089,62676,-39587,-38983,11806,60099,61917,19060,96,5945,46220.26
2016-06-08,40659,35455,5204,9423,41194,128385,61579,12930,134,10850,27180.31
2016-06-09,65178,72223,-7045,-8496,10875,137080,34552,8926,247,4312,49664.75
2016-06-10,90726,54781,35945,39257,16514,145278,39921,8482,417,8209,37438.72
2016-06-11,90111,57252,32859,36792,36214,135997,48072,6508,381,10737,39640.71
2016-06-12,54565,59555,-4990,-6109,35568,57937,32524,10823,439,7888,41343.48
2016-06-13,42884,60602,-17718,-13017,30119,122361,68938,15731,445,13358,39208.1
2016-06-14,37199,20605,16594,21028,30737,63827,67692,14813,152,13541,16438.92
2016-06-15,80038,25677,54361,54150,12476,94544,68007,9597,307,14778,18838.09
2016-06-16,77786,69834,7952,10397,23321,50266,39828,12946,268,3710,52706.73
2016-06-17,69294,31938,37356,36708,26300,108479,21518,11350,298,3282,21988.15
2016-06-18,98015,61819,36196,38667,10676,129724,39085,6884,125,10226,46498.18
2016-06-19,54178,74502,-20324,-18265,18616,146269,56304,5334,180,8051,54883.9
2016-06-20,32665,67545,-34880,-34231,11600,80298,59500,13472,202,6340,51700.5
2016-06-21,20534,58534,-38000,-33096,40207,79152,55338,10204,73,12217,35637.74
2016-06-22,56132,58184,-2052,-2044,11340,120363,50729,14642,112,10343,35435.89
2016-06-23,56110,30009,26101,28418,35205,58534,54795,17342,479,14041,21421.62
2016-06-24,78754,45246,33508,37293,42935,52808,41814,13776,210,6934,30575.87
2016-06-25,83580,43185,40395,36428,18208,112536,34849,14688,316,6244,32843.21
2016-06-26,42469,44295,-1826,-6615,17052,129674,24654,6264,55,13833,28045.42
2016-06-27,84016,74332,9684,10741,11545,53729,23162,16291,394,8956,48324.3
2016-06-28,66233,40519,25714,30311,27914,110476,52338,18142,165,10387,27719.45
2016-06-29,86708,35952,50756,51264,13813,132922,46897,6436,99,6822,27998.05
2016-06-30,78232,61642,16590,16607,11497,115815,52120,10725,246,8607,38621.21
2016-07-01,54409,24185,30224,33346,10542,96106,23133,10464,157,12641,18264.4
2016-07-02,39324,79366,-40042,-36917,26762,144498,57836,15707,125,7622,63311.71
2016-07-03,28738,34843,-6105,-4626,14435,120644,56722,9514,134,3230,26132.98
2016-07-04,44054,32505,11549,15662,40870,52069,45045,14600,163,7815,23080.26
2016-07-05,49709,69682,-19973,-20911,41788,55755,48239,18485,288,7184,49590.1
2016-07-06,20363,43022,-22659,-20311,14302,140747,69012,9119,241,6927,27226.29
2016-07-07,30358,76609,-46251,-43309,49050,103702,54116,18020,403,9895,52693.08
2016-07-08,23240,69261,-46021,-43076,24719,145080,54509,14048,367,12278,48901.67
2016-07-09,92201,31439,60762,59000,13852,122889,32495,5402,128,3015,21997.1
2016-07-10,65689,74100,-8411,-11918,43441,73012,26898,19354,234,13356,46114.03
2016-07-11,21936,29660,-7724,-11147,46288,60315,53889,9768,322,2397,18696.12
2016-07-12,63965,23849,40116,36713,21231,106812,53513,19388,375,9939,15510.78
2016-07-13,97534,44628,52906,50334,12057,52241,68137,9199,327,9687,31431.91
2016-07-14,20882,39835,-18953,-23641,31579,121022,25831,7390,328,3210,25180.71
2016-07-15,40224,19736,20488,22174,27121,131041,68747,15934,279,7234,12942.11
2016-07-16,50825,50377,448,-477,38888,127626,21138,9147,95,13246,33672.39
2016-07-17,90740,62443,28297,23300,39987,113254,35898,17656,98,4384,45825.46
2016-07-18,48885,18909,29976,32037,48915,113841,22492,17006,247,8496,12605.99
2016-07-19,60056,64555,-4499,-422,23972,108866,58409,17898,453,3758,47740.07
2016-07-20,23203,29867,-6664,-6446,42636,60995,35910,14435,459,8959,18822.2
2016-07-21,80241,79685,556,-4253,36300,143929,59694,5623,161,5058,52331.76
2016-07-22,22244,15794,6450,3830,45421,63010,35729,18668,496,13311,10812.89
2016-07-23,88619,32945,55674,51909,19253,94327,59564,19760,279,8388,21516.81
2016-07-24,41584,73527,-31943,-29181,17256,74425,63552,17866,175,11902,46821.45
2016-07-25,28521,30369,-1848,1083,41541,107511,52098,15667,324,6483,24127.03
2016-07-26,70017,58601,11416,8819,16749,127032,66017,9849,309,9468,42853.66
2016-07-27,53541,38807,14734,15755,47874,101592,46727,14483,121,13499,23448.46
2016-07-28,49063,25856,23207,25627,28531,143846,35882,8322,361,4034,16480.47
2016-07-29,90268,21795,68473,70207,33810,83420,64436,14209,269,3884,15954.46
2016-07-30,84952,44385,40567,44020,27686,80976,52406,15695,340,6565,29776.66
2016-07-31,59563,46063,13500,10869,13075,138395,38987,15017,397,11362,32330.4
2016-08-01,59752,75951,-16199,-18732,16733,72665,60896,9085,476,12899,57718.09
2016-08-02,22567,53260,-30693,-31266,14805,141546,39013,16205,420,7855,33189.24
2016-08-03,36121,63562,-27441,-31182,24661,139490,36829,13622,356,10381,46288.03
2016-08-04,21674,25149,-3475,-6421,20152,137911,56592,11218,203,8962,17552.99
2016-08-05,96411,41669,54742,50275,28084,133167,35569,7080,353,10042,26882.88
2016-08-06,86275,41328,44947,42066,37596,81765,45769,18836,209,7789,27460.22
2016-08-07,87081,52767,34314,30837,11024,100776,39812,7858,420,7797,31959.02
2016-08-08,49140,70350,-21210,-22753,35175,98714,39396,11350,399,14617,56017.65
2016-08-09,29327,52965,-23638,-26049,38681,131497,35795,7827,199,6847,33132.95
2016-08-10,90663,18562,72101,71520,26315,134636,63421,13726,100,8810,13908.01
2016-08-11,43331,65846,-22515,-20423,17619,131053,47055,10969,166,12398,45279.37
2016-08-12,43004,48623,-5619,-3875,44759,82138,51117,8819,465,4213,33725.8
2016-08-13,30492,57255,-26763,-29823,39805,83592,57595,9605,261,8707,41132.41
2016-08-14,74797,68907,5890,4626,25791,143772,43454,17248,63,12689,53909.83
2016-08-15,78095,51389,26706,21778,29756,61754,30941,5126,50,4884,36595.53
2016-08-16,33749,19206,14543,12430,14747,121970,69238,12227,412,11768,14607.5
2016-08-17,83217,48806,34411,34768,11646,123343,43785,18424,220,13472,37501.75
2016-08-18,29045,78565,-49520,-45341,41636,147396,51646,11965,72,4790,57342.99
2016-08-19,40116,52364,-12248,-15903,24559,79920,67750,11610,333,8697,38106.13
2016-08-20,38667,79075,-40408,-35430,28138,83082,52147,17389,199,2836,61089.43
2016-08-21,95057,35897,59160,63383,10750,64719,62398,6251,226,12347,21905.61
2016-08-22,94205,29151,65054,62060,41350,108282,49448,16119,443,9261,21204.04
2016-08-23,47302,19370,27932,32354,43610,121341,41509,14165,172,13010,13641.3
2016-08-24,31283,39045,-7762,-4160,40933,69318,37834,19241,494,9328,25502.96
2016-08-25,50935,36700,14235,11054,23859,142821,35418,10929,213,13557,27757.33
2016-08-26,92534,51215,41319,43113,29798,56331,27789,15538,394,13348,33771.81
2016-08-27,51624,37234,14390,16603,29894,68921,28209,19045,337,8928,28143.28
2016-08-28,33440,71382,-37942,-39850,28687,149713,39326,9660,456,14535,55856.15
2016-08-29,66501,67584,-1083,-794,39691,113607,66876,7825,260,2549,48284.86
2016-08-30,21269,71268,-49999,-52408,27811,105620,57760,17011,296,2611,54216.24
2016-08-31,27868,63671,-35803,-33220,30238,110558,46997,6479,479,12280,41521.84
2016-09-01,50251,30326,19925,17427,39737,129153,44619,13385,194,8439,19144.35
2016-09-02,97909,61824,36085,39938,37318,118335,41664,8581,230,12245,44109.43
2016-09-03,58729,52997,5732,10153,14071,137763,53090,18781,418,8842,36314.37
2016-09-04,35734,76092,-40358,-35810,12374,105769,24332,18079,357,11697,52110.2
2016-09-05,62429,17241,45188,43280,41562,98823,65736,6093,483,6144,10784.3
2016-09-06,61337,77982,-16645,-14584,23365,60199,45871,11020,347,11401,61405.8
2016-09-07,60325,45639,14686,11359,48377,120562,52037,18789,163,5598,28370.21
2016-09-08,82514,55586,26928,31208,21812,120649,29442,6949,231,7671,36591.59
2016-09-09,28433,75874,-47441,-46439,37526,83623,57209,6247,111,3058,52691.66
2016-09-10,29111,54766,-25655,-23347,10279,74601,45315,10762,73,8067,40998.53
2016-09-11,83753,36278,47475,49134,31558,122945,58740,13823,106,14743,26323.2
2016-09-12,93620,57923,35697,31196,12270,94373,45554,8659,439,8212,35587.7
2016-09-13,41751,21444,20307,15632,20347,58466,20410,12449,132,14842,13060.96
2016-09-14,36453,18015,18438,19471,49629,119156,53182,18929,164,6887,12866.5
2016-09-15,58968,29903,29065,24952,27067,106540,47871,11856,132,11003,18014.41
2016-09-16,50077,54583,-4506,-319,28427,59127,29992,10319,164,11610,38899.88
2016-09-17,54775,43143,11632,10305,43728,65166,69963,19254,125,10511,27457.31
2016-09-18,78144,78636,-492,2443,13077,81526,34436,12354,209,4208,50170.44
2016-09-19,68570,76214,-7644,-11716,43274,127558,34544,7248,202,6072,48459.36
2016-09-20,66097,19864,46233,45636,22480,91867,61200,16365,113,7399,14995.82
2016-09-21,44503,24676,19827,20253,12803,143099,35803,13023,273,14279,17144.63
2016-09-22,22779,19234,3545,6535,15299,94766,54125,9299,53,5287,12361.72
2016-09-23,20755,36340,-15585,-10739,26092,125598,49734,17875,216,3625,22262.03
2016-09-24,59263,61915,-2652,-7028,47917,85278,69842,14524,179,9036,42648.6
2016-09-25,75087,33723,41364,40708,39181,51823,68679,7093,456,10896,23800.68
2016-09-26,62281,23526,38755,36126,10733,113381,51806,5182,248,5750,16907.21
2016-09-27,71482,21842,49640,49339,14555,71745,42149,13337,133,4530,13485.65
2016-09-28,74857,49626,25231,28481,44429,106439,45637,17560,85,14875,33490.53
2016-09-29,37400,16207,21193,21309,47321,106325,57279,16175,237,10883,10841.66
2016-09-30,60115,78794,-18679,-17442,14662,80621,52882,9772,486,5077,52469.78
2016-10-01,34249,32308,1941,6410,30518,118456,40789,15782,66,9988,25126.34
2016-10-02,66825,77420,-10595,-6717,43737,96713,43668,11920,135,4594,52066.63
2016-10-03,44600,67097,-22497,-19870,40545,75232,61695,12782,376,9525,48811.12
2016-10-04,57706,69533,-11827,-12217,10261,126279,54800,18822,300,14777,53989.6
2016-10-05,39222,79414,-40192,-44660,30663,106065,41665,5223,153,5938,47724.02
2016-10-06,61139,20429,40710,40207,41542,142751,57195,6907,392,7464,15286.9
2016-10-07,61302,68591,-7289,-8437,46367,78470,32680,16236,379,3537,50081.51
2016-10-08,88159,22591,65568,63972,30343,62398,60155,12186,498,14807,17666.61
2016-10-09,28646,60712,-32066,-34298,26769,100443,66293,14524,298,10494,41946.98
2016-10-10,33543,53660,-20117,-22462,24911,123099,62015,14385,365,7826,42466.7
2016-10-11,42785,26777,16008,13148,11034,119170,55218,5483,415,7103,18557.29
2016-10-12,98353,53713,44640,47364,40930,58239,48019,8842,345,12611,32930.94
2016-10-13,51406,55459,-4053,-8480,44574,106998,66649,18015,255,5358,41783.29
2016-10-14,71428,27548,43880,40445,37050,77344,29836,12715,354,6191,16658.56
2016-10-15,43777,61441,-17664,-12667,24160,133433,59184,5345,361,14348,48738.56
2016-10-16,77939,51795,26144,21580,44368,120760,57179,16475,386,8580,31082.76
2016-10-17,73026,60224,12802,11391,30071,66453,41498,10453,315,11216,44621.96
2016-10-18,49553,77099,-27546,-31148,47558,127430,25169,19266,427,6332,47864.9
2016-10-19,43548,52063,-8515,-3769,27184,122040,43910,16103,259,7907,36479.3
2016-10-20,83221,77848,5373,8064,44837,87721,41103,14095,212,11471,48598.52
2016-10-21,57265,47055,10210,8476,49977,111440,25076,9532,443,14737,33632.95
2016-10-22,60701,27869,32832,34240,21467,111327,21703,8108,348,8780,19834.32
2016-10-23,71287,38863,32424,30921,38826,72078,43261,9324,69,2997,23848.33
2016-10-24,26727,19661,7066,7022,21786,87863,57210,18386,257,6567,12372.68
2016-10-25,70717,62498,8219,5193,37433,147338,31294,7629,450,6018,46422.97
2016-10-26,52427,59802,-7375,-3317,27869,54910,37167,12844,88,7735,43845.38
2016-10-27,36692,33782,2910,7155,26008,147039,69580,16679,99,11933,22228.79
2016-10-28,51625,64179,-12554,-12144,23050,136095,62855,10536,141,3575,40849
2016-10-29,44918,59910,-14992,-12250,24048,136492,29380,16693,378,9485,44045.83
2016-10-30,61136,16898,44238,41772,38728,117121,54218,9432,247,14120,11953.49
2016-10-31,72409,27919,44490,47063,17966,73856,54120,6852,250,14048,18156.33
2016-11-01,35577,55068,-19491,-16272,18465,51433,49768,7997,225,10995,43819.99
2016-11-02,47689,17427,30262,28479,49819,133933,51691,15721,466,3288,11774.5
2016-11-03,31154,49393,-18239,-20904,34231,58554,25019,6762,340,13392,36418.24
2016-11-04,41341,25767,15574,15250,30345,51299,22363,19757,199,7059,20014.46
2016-11-05,94681,33420,61261,62656,14528,100404,29023,7965,456,7723,26424.42
2016-11-06,66330,73654,-7324,-4995,18064,107676,57923,18502,95,9856,57392.8
2016-11-07,88416,51123,37293,34450,44051,144791,46542,12403,138,12311,36727.88
2016-11-08,53313,71198,-17885,-20194,14091,105775,57541,15213,277,9537,45698.86
2016-11-09,66900,61821,5079,6620,42428,69921,23105,14921,424,10410,48556.14
2016-11-10,98840,67872,30968,29310,12221,94012,41141,13121,312,13816,53986.7
2016-11-11,54695,19902,34793,31348,19939,91640,33304,14695,64,8573,11966.22
2016-11-12,50225,41850,8375,3650,40472,121037,42483,13817,398,6012,32734.88
2016-11-13,69156,63554,5602,3338,49889,117850,35026,16286,214,8597,49400.16
2016-11-14,97209,58034,39175,43714,16415,125318,34124,5652,123,13377,40054.39
2016-11-15,47829,79843,-32014,-33925,37954,127029,28961,5283,365,2008,60591.65
2016-11-16,45938,36620,9318,11896,22595,124730,67033,8215,483,14517,28928.17
2016-11-17,79164,23280,55884,58852,45410,95614,22443,5955,158,2955,15406.36
2016-11-18,74530,29954,44576,41748,34453,73422,68995,11008,318,12023,20790.38
2016-11-19,88199,59764,28435,23587,43323,86941,62985,19718,196,10260,37528.82
2016-11-20,80282,61814,18468,15072,45022,77495,20869,17784,354,3959,40702.27
2016-11-21,67801,72465,-4664,-2863,11140,133828,56634,13343,328,6328,56292.6
2016-11-22,29465,61973,-32508,-29784,24253,115896,62081,5835,104,8912,39409.32
2016-11-23,23326,52729,-29403,-32577,15745,96870,48152,11629,448,5026,41572.2
2016-11-24,23659,47800,-24141,-20703,17592,140172,68531,13287,59,3143,34021.37
2016-11-25,80289,52466,27823,28332,32515,103254,42442,12853,233,12671,38864.26
2016-11-26,47594,23887,23707,20077,45867,67678,56127,12474,165,3016,16209.25
2016-11-27,24763,46607,-21844,-21522,29999,110238,54521,19124,409,13991,30147.05
2016-11-28,30828,67993,-37165,-37037,11240,103768,25270,14753,368,5584,47354.61
2016-11-29,67588,47141,20447,21258,34646,148516,44104,6450,234,3730,31161.98
2016-11-30,31221,56484,-25263,-28572,17931,59380,57889,13271,95,6183,39765.73
2016-12-01,31211,28335,2876,4550,22958,89738,38493,13192,466,4904,17570.52
2016-12-02,33569,69596,-36027,-37637,27928,75243,66824,12195,105,11062,54528.7
2016-12-03,57860,21177,36683,34081,34484,142523,49407,5848,158,12189,13867.22
2016-12-04,91558,56206,35352,40214,23293,93022,32919,16791,323,10279,40854.12
2016-12-05,65337,18926,46411,41447,37289,135109,53848,14438,117,7721,13807.72
2016-12-06,72311,63146,9165,5792,43874,119719,45135,18243,364,10138,41048.14
2016-12-07,33515,75445,-41930,-44591,49945,104787,66286,17132,181,8524,60307.14
2016-12-08,91695,58056,33639,34799,21543,99902,23978,5399,192,5714,40449.26
2016-12-09,44904,25154,19750,16121,19907,65473,22349,8693,208,7502,18889.75
2016-12-10,79935,17959,61976,57652,19305,85042,44632,12875,307,3811,10888.48
2016-12-11,63790,33611,30179,30251,47172,127454,34274,16306,253,7867,21713.75
2016-12-12,88580,49161,39419,34671,20179,100419,59174,12191,111,8856,30534.61
2016-12-13,95148,74251,20897,18761,13021,132340,52563,5674,210,11527,49714.83
2016-12-14,25636,33407,-7771,-11155,19720,127825,37843,9722,479,11325,25015.01
2016-12-15,97129,28025,69104,66335,21031,84151,68157,8873,301,6456,17605.3
2016-12-16,22892,21064,1828,3261,22570,112075,46166,9152,483,3939,14379.79
2016-12-17,41672,71714,-30042,-34282,11130,62100,36533,13788,197,13271,45839.84
2016-12-18,25812,79077,-53265,-54979,40075,55590,42275,9364,499,4067,51033.54
2016-12-19,20654,21639,-985,316,41526,137752,68132,13902,370,3744,13194.7
2016-12-20,74633,17478,57155,59221,16739,79251,38940,10419,302,7987,12262.47
2016-12-21,37143,71526,-34383,-32549,39541,82914,22407,17828,389,14682,45291.41
2016-12-22,75934,79546,-3612,-8220,32468,112727,60067,16414,73,7600,52631.39
2016-12-23,87334,22929,64405,68027,17504,65134,22730,13893,191,9021,15398.18
2016-12-24,49087,47326,1761,-2243,11929,62045,28044,14809,98,8213,30549.74
2016-12-25,31618,77876,-46258,-44110,41503,65388,62363,19935,150,2359,54172.44
2016-12-26,28446,68611,-40165,-35882,33511,98740,29615,13111,474,6718,42379.31
2016-12-27,68867,37837,31030,27130,20637,82187,31497,16453,206,3685,28052.89
2016-12-28,71028,56941,14087,17380,41131,147627,59609,8972,198,5373,37486.07
2016-12-29,80101,44974,35127,39211,14725,86652,40937,16031,337,8563,31583.96
2016-12-30,47200,59183,-11983,-14723,49312,116889,40768,10972,236,4605,36868.92
2016-12-31,81465,23418,58047,63027,37332,71557,30846,11123,177,2098,14172.51
2017-01-01,59148,32650,26498,23678,36097,119420,26373,12644,102,14376,21872.78
2017-01-02,40698,49825,-9127,-8811,16317,58962,53003,14980,136,9051,36598.16
2017-01-03,62470,72148,-9678,-12898,34876,84891,48927,15400,270,7840,49775.48
2017-01-04,71660,61471,10189,11622,46860,126067,32224,5777,255,6180,45590.57
2017-01-05,73910,29383,44527,48998,49014,86229,62276,18928,112,3358,21474.04
2017-01-06,55450,61703,-6253,-7245,33715,145179,53809,19462,248,5736,45787.7
2017-01-07,76463,58211,18252,20625,46686,133693,51095,17820,200,6557,44859.94
2017-01-08,53757,46708,7049,5335,24152,144248,24494,12057,130,3799,30542.2
2017-01-09,98012,50709,47303,46820,48488,96919,39395,13477,83,12104,30499.66
2017-01-10,90247,47924,42323,39951,24513,66296,24642,15931,273,2573,29230.47
2017-01-11,92015,38382,53633,49171,20011,100892,24931,14612,470,11280,24705.39
2017-01-12,51390,41649,9741,6521,40573,70925,69065,10636,438,9362,25907.37
2017-01-13,76116,46140,29976,31581,11710,146362,36639,14137,91,9599,30316.36
2017-01-14,33161,60023,-26862,-29514,17328,99544,50547,14861,286,4129,43247.27
2017-01-15,52152,47563,4589,4996,30576,141785,51325,15404,261,11025,35827.4
2017-01-16,40836,45373,-4537,-2368,33205,66424,54664,14547,249,10947,28642.21
2017-01-17,86543,32144,54399,51359,35735,90628,25269,12435,377,5807,22983.52
2017-01-18,75648,23965,51683,49774,43155,112467,59331,10433,137,9991,18677.04
2017-01-19,46331,37791,8540,10637,44671,66944,20417,18241,458,10175,28289.76
2017-01-20,30763,73896,-43133,-44571,41722,128921,63482,19092,351,6293,46631.16
2017-01-21,89444,38115,51329,51410,30643,125823,46520,16012,332,6691,27770.44
2017-01-22,39187,32341,6846,6747,42457,108979,34758,10587,145,12437,22499.65
2017-01-23,31957,62573,-30616,-33312,39616,105784,30187,11237,184,6996,40680.59
2017-01-24,24379,31637,-7258,-9773,31160,62737,59883,19224,493,11808,22320.69
2017-01-25,47959,39269,8690,11618,11001,112226,64756,18268,61,7451,24829.27
2017-01-26,47105,32953,14152,17327,30637,114199,45009,8651,161,14639,21856.92
2017-01-27,20877,42794,-21917,-26269,19004,106025,61020,11534,184,10686,28748.1
2017-01-28,68353,38877,29476,32366,40434,69069,67494,15622,414,2519,25935.55
2017-01-29,71567,55273,16294,15109,15421,102914,31410,6699,478,9676,34175.85
2017-01-30,77913,71035,6878,8157,37586,56371,55799,15074,441,13341,48520.23
2017-01-31,22637,27405,-4768,-25,28780,52314,56499,15061,181,12358,21061.28
2017-02-01,92778,42812,49966,54460,27731,53835,42660,9946,461,8319,32867.79
2017-02-02,62025,60605,1420,-948,40769,85260,45202,6149,95,7271,41463.19
2017-02-03,48742,69158,-20416,-17513,23635,113185,60710,5112,238,7163,41669.24
2017-02-04,31831,77309,-45478,-49210,27921,128992,48051,18713,417,3893,55349.5
2017-02-05,66762,56767,9995,6768,37722,52632,36046,9832,257,3715,40824.73
2017-02-06,38830,69920,-31090,-29070,11782,84383,45296,13392,89,3626,53928.27
2017-02-07,75044,69068,5976,4603,28932,83799,50452,6615,339,6857,53018.8
2017-02-08,93948,24973,68975,65141,44518,133112,53889,8644,421,14096,18853.96
2017-02-09,89202,73565,15637,13185,49653,145129,65514,14171,332,8153,56744.55
2017-02-10,57045,38925,18120,14670,15873,97108,40177,5854,459,9248,25291.93
2017-02-11,91051,78041,13010,10150,45003,113812,31091,5549,444,8126,55677.24
2017-02-12,46627,59623,-12996,-12494,39617,134119,43103,9848,50,6349,46910.37
2017-02-13,35198,38091,-2893,-1885,32656,112797,31585,8135,198,14782,26897.62
2017-02-14,89521,34584,54937,56359,13564,99532,45350,7669,337,2520,26899.91
2017-02-15,49475,54325,-4850,-4004,32624,57587,56954,13241,252,3606,42449.45
2017-02-16,39403,71699,-32296,-33776,39036,61224,64814,7851,264,9643,44028.35
2017-02-17,23681,24071,-390,2538,39860,122592,52577,16525,237,8103,18849.81
2017-02-18,62292,20088,42204,44329,33535,70223,66785,6204,117,2671,12459.3
2017-02-19,25629,64152,-38523,-34711,47492,112917,26410,6522,179,7809,43650.8
2017-02-20,97814,31550,66264,66671,10969,51350,65253,19717,389,10794,23674.64
2017-02-21,28417,17063,11354,8877,18127,141565,62935,15699,359,8932,10478.98
2017-02-22,54765,42280,12485,12252,42070,120222,68534,12534,442,14309,28711.24
2017-02-23,94499,23303,71196,74558,49310,97685,41997,17602,246,10511,15075.27
2017-02-24,76574,26631,49943,50587,41130,65647,58409,14014,187,14777,19737.42
2017-02-25,47675,16125,31550,28969,29208,69515,48128,15645,122,6246,12477.55
2017-02-26,92267,50409,41858,46466,23375,83919,51946,12588,52,6669,37983.17
2017-02-27,60563,65581,-5018,-3941,46286,141518,69047,16855,336,10470,46556.48
2017-02-28,31332,37485,-6153,-3476,30404,116729,55259,11807,148,4564,28814.08
2017-03-01,39177,58003,-18826,-22888,23540,66935,21627,6687,437,10318,44730.4
2017-03-02,88447,27794,60653,60583,39176,124778,65067,16785,184,4687,19432.1
2017-03-03,77104,33018,44086,45438,31340,147895,35480,11621,321,5277,25456.32
2017-03-04,24951,23862,1089,3032,34361,89356,53499,9745,65,3100,18574.66
2017-03-05,48333,50879,-2546,65,22012,131534,65842,17345,397,11927,30613.72
2017-03-06,41673,16690,24983,28047,25429,145164,63335,7521,152,9646,12952.42
2017-03-07,60870,71867,-10997,-12820,14607,105247,22283,10380,419,8212,43917.45
2017-03-08,91101,30740,60361,60712,42767,69763,63556,12856,318,8558,20284.22
2017-03-09,42821,62862,-20041,-19941,14642,109110,44603,8711,285,3035,44686.72
2017-03-10,45494,63643,-18149,-19353,47850,71887,42827,13338,238,14844,41295.79
2017-03-11,94160,38024,56136,54020,14010,83020,62154,12091,261,4941,29474.4
2017-03-12,20835,35341,-14506,-9583,25704,114321,40676,6616,222,8131,26776.2
2017-03-13,38646,24156,14490,10762,29172,87851,30991,11080,297,12327,16833.01
2017-03-14,97360,64432,32928,34335,29195,89558,29943,18683,245,14143,49448.61
2017-03-15,57335,52214,5121,1873,13115,140290,47255,9703,201,14698,39865.77
2017-03-16,89351,46053,43298,45968,37125,80078,60290,18427,273,12067,30665.64
2017-03-17,22429,78389,-55960,-53530,34485,113089,20133,13614,135,7016,48046.32
2017-03-18,61950,25158,36792,33483,48312,91216,68073,12290,237,4530,18074.65
2017-03-19,80654,17808,62846,67295,22864,63777,55700,18157,175,9928,13482.22
2017-03-20,88143,77987,10156,13779,21377,128580,56059,17286,237,9707,61252.73
2017-03-21,97527,20402,77125,77298,36370,60928,47403,9096,310,2790,12392.54
2017-03-22,51099,16964,34135,33040,49309,122211,52372,19672,170,8877,11549.57
2017-03-23,59385,77167,-17782,-16736,28348,146610,62382,11805,403,5673,56850.28
2017-03-24,55919,75734,-19815,-18735,14769,113217,42978,8021,409,9636,52375.83
2017-03-25,80782,32206,48576,49732,22963,66359,64606,9203,209,14992,20767.57
2017-03-26,91116,24629,66487,68301,40734,139688,41364,17054,298,5836,17706.63
2017-03-27,92590,47337,45253,46937,14233,129330,31171,16666,137,7018,36712.05
2017-03-28,60387,49829,10558,7662,25266,122463,33568,11682,406,3171,39311
2017-03-29,35823,36559,-736,-637,29049,122367,68455,16025,185,14523,29193.59
2017-03-30,66015,79914,-13899,-9523,38752,53039,32506,17981,480,4971,54094.98
2017-03-31,35339,78829,-43490,-48054,38974,118918,37715,16408,259,2309,50495.33
